ts_utc,equity,cash,n_positions,day_pct
2026-07-23T01:50:00Z,501.95,436.95,1,-0.0070
2026-07-23T02:00:00Z,501.93,441.93,1,-0.0071
2026-07-23T02:10:00Z,501.91,431.91,1,-0.0071
2026-07-23T02:20:00Z,501.89,441.89,1,-0.0071
2026-07-23T02:30:01Z,501.87,441.87,1,-0.0072
2026-07-23T02:40:00Z,501.90,441.90,1,-0.0071
2026-07-23T02:50:01Z,501.92,441.92,1,-0.0071
2026-07-23T03:00:00Z,501.96,439.96,1,-0.0070
2026-07-23T03:10:01Z,501.88,441.88,1,-0.0071
2026-07-23T03:20:00Z,501.80,441.80,1,-0.0073
2026-07-23T03:30:01Z,501.81,441.81,1,-0.0073
2026-07-23T03:40:00Z,501.86,441.86,1,-0.0072
2026-07-23T03:50:00Z,501.82,441.82,1,-0.0073
2026-07-23T04:00:00Z,501.86,441.86,1,0.0000
2026-07-23T04:10:00Z,501.82,441.82,1,-0.0001
2026-07-23T04:20:00Z,501.87,441.87,1,0.0000
2026-07-23T04:30:00Z,501.92,439.92,1,0.0001
2026-07-23T04:40:00Z,501.84,441.84,1,-0.0000
2026-07-23T04:50:00Z,501.84,436.84,1,-0.0000
